大類別,子項目,負責人,進度狀態,備註
核心概念設計,遊戲類型選定,,,
核心概念設計,世界觀背景撰寫,,,
核心概念設計,故事大綱撰寫,,,
核心概念設計,主要角色設定（性格、背景）,,,
核心概念設計,核心玩法描述,,,
核心概念設計,特色系統概念草稿,,,
核心概念設計,玩家目標與遊戲循環設計,,,
美術設計,遊戲美術風格定位（寫風格指南）,,,
美術設計,主角立繪/3D 模型設計,,,
美術設計,主角動畫列表（走、跑、攻擊、受擊）,,,
美術設計,敵人角色設計與動畫,,,
美術設計,NPC 角色設計,,,
美術設計,武器、道具美術,,,
美術設計,UI 設計草稿（框架、配色、字體）,,,
美術設計,UI 細節設計（按鈕樣式、Icon）,,,
美術設計,場景概念美術,,,
美術設計,場景 3D 模型或 2D 切圖製作,,,
美術設計,特效設計（技能、爆炸、UI 動效）,,,
音效設計,主題曲作曲／委託,,,
音效設計,各場景 BGM 製作,,,
音效設計,戰鬥音樂,,,
音效設計,UI 點擊音效,,,
音效設計,技能／攻擊音效,,,
音效設計,環境音（風聲、鳥叫、水流等）,,,
音效設計,角色語音／叫聲,,,
音效設計,音量混音設定,,,
系統設計,操作介面規劃（鍵盤、手把、手機觸控）,,,
系統設計,操作教學流程設計,,,
系統設計,戰鬥系統細節設計,,,
系統設計,任務流程設計,,,
系統設計,任務 UI 與提示邏輯,,,
系統設計,道具系統,,,
系統設計,背包 UI 設計,,,
系統設計,商店系統設計,,,
系統設計,存檔／讀檔機制設計,,,
系統設計,玩家數值系統設計,,,
程式開發,專案架構建立（Unity/Unreal）,,,
程式開發,場景管理（Scene Loader）,,,
程式開發,角色控制器程式,,,
程式開發,動畫狀態機設計,,,
程式開發,攝影機控制程式,,,
程式開發,UI 系統開發,,,
程式開發,任務系統程式,,,
程式開發,敵人 AI 開發,,,
程式開發,資料管理,,,
程式開發,特效控制程式,,,
程式開發,優化程式,,,
程式開發,平台輸出設定,,,
關卡設計,關卡流程圖繪製,,,
關卡設計,關卡地形規劃（Layout）,,,
關卡設計,場景障礙物配置,,,
關卡設計,機關設計,,,
關卡設計,教學關卡設計,,,
關卡設計,關卡內指引設計,,,
關卡設計,隱藏路線或收集品設計,,,
關卡設計,存檔點配置,,,
遊戲平衡,敵人血量、攻擊力表格,,,
遊戲平衡,玩家數值曲線設計,,,
遊戲平衡,關卡難度曲線設計,,,
遊戲平衡,道具掉落率設定,,,
遊戲平衡,經濟系統平衡,,,
遊戲平衡,測試調整紀錄表,,,
測試與修正,功能測試清單制定,,,
測試與修正,功能單元測試,,,
測試與修正,遊戲全流程測試,,,
測試與修正,Bug 修正列表建立,,,
測試與修正,平台相容測試,,,
測試與修正,使用者體驗測試,,,
測試與修正,回饋整理與修正計畫,,,
發行準備,遊戲名稱最終確認,,,
發行準備,商店頁面撰寫,,,
發行準備,遊戲截圖製作,,,
發行準備,宣傳影片剪輯,,,
發行準備,行銷素材設計,,,
發行準備,定價策略制定,,,
發行準備,版號申請或審核流程,,,
文件與資源整理,遊戲設計文件（GDD）編寫,,,
文件與資源整理,程式設計文件,,,
文件與資源整理,美術資源清單,,,
文件與資源整理,音效資源清單,,,
文件與資源整理,任務分工表更新,,,
文件與資源整理,Git 或版本管理設定,,,
文件與資源整理,檔案夾架構規劃,,,
